Unnamed: 0,time,speed,rpm,acceleration,throttle_position,engine_temperature,barometric_pressure,distance_travelled,engine_load_value,heart_rate,body_temperature,current_weather,temperature,visibility,precipitation,accidents_onsite,design_speed,original_index,observation_hour,accidents_time,data_source,risk_probability,high_risk
11,13:47:33,0.0,599.0,0.0,12.9,95.0,75.0,0.0,27.1,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,10,,,normal,0.0033902538,False
12,13:47:34,0.0,570.0,0.0,14.9,95.0,75.0,0.0,29.4,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,11,,,normal,0.0033839731,False
13,13:47:35,2.0,690.0,0.23,13.7,95.0,75.0,0.0007,50.6,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,12,,,normal,0.0033916978,False
14,13:47:36,3.0,722.0,0.33,14.1,95.0,75.0,0.0012,36.5,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,13,,,normal,0.0033620545,False
15,13:47:37,3.0,882.0,0.28,14.1,95.0,75.0,0.0021,32.2,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,14,,,normal,0.003273594,False
16,13:47:38,2.0,896.0,-0.21,14.1,95.0,75.0,0.0025,31.8,83.0,32.0,9,25.1,17.7,0.0,29.0,70.0,15,,,normal,0.003226825,False
17,13:47:39,4.0,852.0,-0.21,14.9,95.0,75.0,0.0041,33.3,83.0,32.0,9,25.1,17.7,0.0,30.0,70.0,16,,,normal,0.0033018696,False
18,13:47:40,1.0,980.0,-0.21,14.1,95.0,75.0,0.0042,33.7,83.0,32.0,9,25.1,17.7,0.0,30.0,70.0,17,,,normal,0.003372366,False
19,13:47:41,0.0,785.0,-0.5,13.7,95.0,75.0,0.0042,29.4,83.0,32.0,9,25.1,17.7,0.0,30.0,70.0,18,,,normal,0.0034122195,False
20,13:47:42,0.0,661.0,-0.13,18.0,95.0,75.0,0.0042,39.2,83.0,32.0,9,25.1,17.7,0.0,30.0,70.0,19,,,normal,0.003516576,False
21,13:47:43,5.0,1436.0,0.34,16.1,95.0,75.0,0.0056,32.5,83.0,32.0,9,25.1,17.7,0.0,30.0,70.0,20,,,normal,0.0035467613,False
